mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
571771,0,11,0,0,80,0,0,0,10,80,0,0
571800,0,0,0,0,0,0,0,0,0,0,10,18
571863,0,0,0,0,0,0,0,0,0,0,4,0
571875,4,0,4,0,0,15,14,6,0,20,0,0
571882,0,0,0,0,0,0,0,0,0,0,17,0
571901,0,0,0,0,0,0,0,0,0,0,65,0
571912,0,0,0,76,0,0,0,0,0,0,0,0
571917,0,0,0,0,0,0,0,0,0,0,3,0
571918,0,0,1,0,0,0,0,0,3,0,0,0
571927,0,0,0,0,0,0,0,0,0,0,5,10
571945,0,0,0,0,0,0,0,0,0,0,1,32
571946,0,0,0,0,0,0,0,0,0,0,4,0
571948,0,0,0,0,0,0,0,0,0,0,67,0
571970,3,31,84,0,0,25,0,0,0,0,0,0
571976,25,0,1,0,6,0,10,36,0,52,4,0
571980,0,0,0,0,3,15,14,68,0,85,0,0
572008,0,11,2,0,0,0,1,0,8,1,1,0
572039,0,0,0,0,0,8,5,28,0,33,0,0
572041,0,0,0,0,37,0,107,14,0,158,0,0
572070,0,0,0,0,0,0,0,0,0,0,30,2
572125,0,0,0,0,0,0,0,0,0,0,16,0
572191,0,0,0,0,123,1,0,0,0,123,1,0
572193,0,0,0,0,0,0,0,0,0,0,59,0
572204,0,0,0,0,18,4,36,29,0,83,0,0
572228,37,0,0,0,0,96,0,0,0,0,0,0
572233,150,0,0,0,0,11,0,0,0,0,0,0
572287,0,0,0,35,0,0,0,0,0,0,0,0
572362,0,0,0,0,0,0,0,0,0,0,2,0
572383,0,0,0,0,0,0,0,0,0,0,1,0
572403,0,0,0,0,0,0,0,0,0,0,19,0
572703,0,0,0,0,0,0,0,0,0,0,9,0
572761,5,0,2,0,0,16,3,12,0,15,0,0
572816,0,0,0,0,0,20,60,10,0,70,1,0
572863,0,0,0,7,0,0,0,0,0,0,0,0
572888,0,0,0,0,0,0,0,0,0,0,2,0
572955,0,0,0,0,0,0,0,0,0,0,15,0
572971,0,0,0,0,0,0,0,0,0,0,0,14
573009,0,0,0,0,0,0,0,0,0,0,69,0
573124,0,0,0,0,0,0,0,0,0,0,66,0
573131,45,0,0,0,0,36,29,9,0,38,1,0
573186,0,0,0,0,0,0,0,0,0,0,0,25
573204,0,0,0,0,0,0,0,0,0,0,67,0
573262,0,0,0,0,93,1,0,104,0,197,0,0
573668,0,0,0,0,0,0,0,0,0,0,6,0
575929,0,0,0,72,0,39,0,0,0,0,0,0
578428,0,0,0,0,0,2,0,0,116,0,0,0
579328,0,0,0,0,0,0,0,0,0,0,12,20
592094,0,0,0,0,0,0,0,0,0,0,67,0
592144,0,0,0,0,10,1,1,1,0,12,0,0
592169,0,0,0,0,0,0,0,0,0,0,4,0
592178,0,0,0,0,0,12,30,0,0,30,0,0
592192,1,0,1,0,11,3,123,6,0,140,0,0
592200,3,0,0,54,0,1,0,0,0,0,0,0
592206,0,0,0,0,0,12,3,121,0,124,0,0
592222,0,0,0,0,0,0,0,0,0,0,3,0
592273,30,27,67,0,0,26,0,1,2,1,0,0
592325,5,0,0,0,1,21,57,39,0,97,0,0
592332,0,0,0,0,0,0,0,0,0,0,0,31
592346,0,0,0,0,0,0,0,0,0,0,2,5
592348,4,10,0,0,0,1,0,0,0,0,0,0
592351,0,0,0,0,0,0,0,0,0,0,0,24
592390,0,0,0,0,0,0,0,0,0,0,26,0
592450,0,0,0,0,78,25,0,73,0,151,0,0
592454,0,0,0,0,0,0,0,0,0,0,13,0
592473,0,0,0,0,0,0,0,0,0,0,15,0
592518,0,0,134,0,0,15,0,0,0,0,0,0
592567,25,0,14,0,0,2,0,0,0,0,0,0
592622,0,0,0,0,1,0,6,3,0,10,0,0
592626,0,0,0,0,0,14,102,18,0,120,0,0
592662,0,0,0,0,0,0,0,0,0,0,0,32
592663,3,0,0,133,0,3,0,0,0,0,0,0
592669,1,0,0,0,0,7,0,118,0,118,0,0
592696,0,0,0,0,0,9,54,15,0,69,0,0
592712,0,0,0,0,0,0,0,0,0,0,2,0
592716,0,0,0,0,0,0,0,0,0,0,2,19
592717,0,0,0,0,0,0,0,0,0,0,5,10
592741,0,0,0,0,0,0,0,0,0,0,25,0
592743,0,18,0,0,0,2,0,0,18,0,1,0
592761,0,0,0,0,0,0,0,0,0,0,43,1
592767,0,0,0,0,0,0,0,0,0,0,0,22
592773,0,0,0,0,0,0,0,0,0,0,59,0
592789,0,0,0,0,0,0,0,0,0,0,1,24
592791,0,0,0,0,0,0,0,0,0,0,0,32
592804,0,0,0,0,0,0,0,0,0,0,14,0
592826,0,0,0,0,0,0,0,0,0,0,18,9
592836,0,0,0,0,0,0,0,0,0,0,0,29
592848,0,0,0,0,0,0,0,0,0,0,12,0
592858,0,0,0,0,0,0,0,0,0,0,64,0
592866,0,0,0,0,0,0,0,0,0,0,21,9
592885,0,0,0,0,0,36,115,0,0,115,0,0
593140,0,0,0,0,0,0,0,0,0,0,1,0
593160,2,83,0,0,18,5,5,40,0,63,1,0
593334,0,0,0,0,0,0,0,0,0,0,1,14
593423,0,0,0,0,0,0,0,0,0,0,0,27
593428,0,0,0,0,0,4,0,0,146,0,0,0
593576,0,0,0,0,0,0,0,0,0,0,70,0
593619,0,0,0,0,0,0,0,0,0,0,11,0
593643,3,37,20,0,0,5,0,1,5,1,10,0
593871,0,97,0,0,0,5,0,0,6,0,0,0
593934,19,0,0,0,0,2,0,0,0,0,0,0
593958,0,0,0,0,0,0,0,0,0,0,0,17
593974,0,0,0,0,0,0,0,0,0,0,56,0
594311,0,0,0,0,0,0,0,0,0,0,27,0
594577,0,0,0,0,0,0,0,0,0,0,21,3
594580,0,0,0,0,0,0,0,0,0,0,53,0
594694,0,1,0,0,0,0,0,0,2,0,0,0
594777,0,0,0,0,1,20,29,75,0,105,0,0
594798,0,0,0,0,0,0,0,0,0,0,0,11
594807,0,0,0,0,44,0,35,11,0,90,0,0
594835,0,0,0,0,0,0,0,0,0,0,0,32
594838,3,10,17,0,0,1,0,1,0,1,1,0
595014,0,0,0,0,0,0,0,0,0,0,5,0
595191,0,0,0,0,0,0,0,0,0,0,0,1
595281,0,0,0,0,60,2,0,0,0,60,0,0
595284,0,0,0,16,0,0,0,0,0,0,0,0
595345,0,0,0,0,0,0,0,0,0,0,60,0
595375,0,0,1,0,0,0,0,0,0,0,0,0
595453,0,0,0,12,0,0,0,0,0,0,0,0
595751,0,0,0,65,0,11,0,0,0,0,0,0
595777,0,0,0,0,0,6,146,0,0,146,0,0
595879,0,0,0,0,0,10,0,0,133,0,0,0
595881,0,0,0,0,0,0,0,0,0,0,26,5
595909,0,0,0,0,4,0,45,10,0,59,0,0
595939,0,0,0,0,0,0,0,0,0,0,0,2
595956,0,0,0,18,0,0,0,0,0,0,0,0
595978,0,0,0,105,0,0,0,0,0,0,0,0
596001,0,0,0,0,0,0,0,0,0,0,6,17
596019,0,0,0,0,0,2,0,0,159,0,0,0
596043,0,0,0,0,0,0,0,0,0,0,4,1
596057,0,0,0,0,0,0,0,0,0,0,38,3
596059,0,129,2,0,0,1,0,0,0,0,0,0
596071,0,0,0,0,0,0,0,0,0,0,18,4
596082,0,0,0,0,0,0,0,0,0,0,18,0
596103,0,0,0,0,106,2,16,14,0,136,0,0
596112,0,0,0,0,0,0,0,0,0,0,58,0
596115,0,94,0,0,0,0,0,0,0,0,0,0
596117,0,0,0,41,0,4,1,0,0,1,4,0
596129,5,0,0,0,0,116,0,0,0,0,0,0
596133,0,0,0,0,0,1,0,0,0,0,25,1
596142,1,0,0,91,0,32,0,0,0,0,0,0
596146,0,0,0,0,3,2,0,110,0,113,0,0
596271,0,0,0,0,0,0,0,0,0,0,6,0
596295,0,0,0,0,0,0,0,0,0,0,16,17
596451,0,0,0,0,28,0,11,8,0,47,0,0
596748,4,0,99,0,0,3,0,0,0,0,0,0
596847,98,0,0,0,0,12,0,0,0,0,0,0
598264,0,0,0,0,0,0,0,0,0,0,44,0
598265,0,0,0,0,55,0,0,91,0,146,1,0
598287,0,0,0,0,0,0,0,0,0,0,55,0
600301,0,1,2,0,0,0,0,0,0,0,0,0
600303,3,3,6,0,0,43,0,0,0,0,0,0
600474,2,0,0,4,0,2,0,0,0,0,0,0
600869,0,0,117,0,0,8,0,0,0,0,0,0
600917,0,0,0,0,0,0,0,0,0,0,39,0
600921,0,0,0,0,0,0,0,0,0,0,51,0
601713,0,0,0,0,0,0,0,0,0,0,0,33
602074,0,0,0,0,92,0,27,1,0,120,0,0
602104,0,21,98,0,0,2,0,0,8,0,0,0
605113,0,0,0,0,0,1,0,0,16,0,0,0
605119,0,1,48,0,0,9,8,36,0,44,0,0
605130,0,0,0,0,0,0,0,0,0,0,69,0
605131,0,1,0,55,0,5,0,0,0,0,0,0
605135,0,0,0,0,0,0,0,0,0,0,0,30
605137,124,0,0,0,0,32,0,0,0,0,0,0
605141,0,7,0,0,0,1,0,136,0,136,0,0
605151,0,0,0,0,0,0,0,0,0,0,21,0
605154,0,0,0,0,0,0,0,0,0,0,65,11
605156,0,0,0,0,0,0,0,0,0,0,5,0
605164,0,0,0,0,0,0,0,0,0,0,0,29
605170,2,0,0,90,0,1,0,0,0,0,1,0
605177,0,0,0,0,0,0,0,0,0,0,64,0
605182,0,0,0,0,0,0,0,0,0,0,1,22
605194,0,0,0,0,0,0,0,0,0,0,30,0
605195,0,0,0,0,0,0,0,0,0,0,14,0
605200,0,0,0,0,0,0,0,0,0,0,0,27
605204,18,0,30,0,0,56,2,0,0,2,0,0
605218,0,0,0,0,0,0,0,0,0,0,57,0
605242,0,0,0,0,0,0,0,0,0,0,67,0
605244,5,0,0,41,0,1,0,0,0,0,0,0
605253,0,0,0,0,3,2,3,0,0,6,0,0
605280,0,0,0,0,0,0,0,0,0,0,62,0
605288,0,0,0,0,0,0,0,0,0,0,1,21
605347,0,0,0,0,0,0,0,0,0,0,67,0
605353,0,1,68,0,0,1,0,0,1,0,0,0
605397,0,0,0,0,0,0,0,0,0,0,0,30
605400,0,0,0,0,0,0,0,0,0,0,0,32
605421,0,0,0,44,0,0,0,0,0,0,0,0
605446,0,0,0,0,0,0,0,0,0,0,2,0
605447,0,0,0,0,0,0,0,0,0,0,63,0
605463,0,0,0,0,0,0,0,0,0,0,8,0
605483,0,0,0,0,0,0,0,0,0,0,0,24
605486,0,0,1,0,0,0,0,0,0,0,0,0
605488,0,0,0,0,0,0,0,0,0,0,8,25
605504,0,0,0,0,0,0,5,5,0,10,0,0
605507,0,0,0,0,0,0,0,0,0,0,7,22
605521,0,0,0,0,0,0,0,0,0,0,39,0
605525,0,0,0,0,0,0,0,0,0,0,29,0
605538,0,0,0,0,0,0,0,0,0,0,34,5
605540,0,0,0,0,0,0,0,0,0,0,0,27
605548,0,0,0,0,97,1,0,2,0,99,0,0
605612,50,14,25,0,1,9,3,0,19,4,4,0
606019,0,12,0,0,0,0,0,0,0,0,0,0
606115,0,50,4,0,0,7,6,0,1,6,1,0
606131,0,0,0,0,0,0,0,0,0,0,14,0
606132,0,0,0,0,38,1,64,32,0,134,0,0
606149,0,0,0,0,0,0,0,0,0,0,57,0
606157,0,0,0,0,2,1,7,69,0,78,0,0
606160,0,0,0,0,0,0,0,0,0,0,71,0
606192,0,0,0,0,0,10,8,117,0,125,0,0
606213,4,0,0,1,0,15,8,0,0,8,0,0
606273,0,0,0,0,0,0,0,0,0,0,7,0
606303,0,0,0,0,0,0,0,0,0,0,41,0
606424,0,0,0,0,0,0,0,0,0,0,58,0
606466,0,94,0,0,0,37,0,0,0,0,0,0
606625,0,0,0,0,0,0,0,0,0,0,39,0
606930,0,0,0,0,0,0,0,0,0,0,23,0
606965,0,0,0,0,0,0,0,0,0,0,13,0
606988,0,0,0,2,0,0,0,0,0,0,0,0
606992,0,0,0,84,0,12,11,0,0,11,0,0
606993,0,16,7,0,0,1,0,0,4,0,3,0
607043,0,0,0,0,151,0,0,0,0,151,0,0
607054,5,3,86,0,0,1,3,12,0,15,1,0
607074,0,0,0,0,0,0,0,0,0,0,0,31
607179,0,0,0,0,0,0,0,0,0,0,32,0
607192,0,0,0,0,0,0,0,0,0,0,0,2
607200,0,0,0,0,0,0,0,0,0,0,0,27
607208,0,0,0,0,0,0,0,0,160,0,0,0
607216,0,0,0,0,0,0,0,0,0,0,56,0
607229,0,0,0,0,0,0,0,0,0,0,8,0
607237,0,0,0,0,0,0,0,0,0,0,60,0
607249,0,0,0,0,0,0,3,0,0,3,0,0
607259,0,0,0,0,0,0,0,0,0,0,37,10
607359,0,0,0,0,0,0,0,0,0,0,7,0
607391,0,0,0,0,0,0,0,0,0,0,2,0
607455,0,0,0,0,0,0,0,0,0,0,31,1
607457,0,0,0,0,0,0,0,0,0,0,8,0
607461,3,0,0,0,0,3,2,10,0,12,0,0
607481,0,0,0,0,0,0,0,0,0,0,32,0
607536,0,0,0,0,0,0,0,0,0,0,0,31
607572,0,0,0,0,0,0,0,0,0,0,3,0
607609,0,0,0,0,0,0,0,0,0,0,1,0
607625,0,0,0,0,0,0,0,0,0,0,62,0
607644,0,0,0,0,0,0,0,0,0,0,0,2
607680,0,0,0,0,1,0,4,0,0,5,0,0
607732,0,0,0,110,0,1,0,0,0,0,0,0
607755,0,0,0,0,0,0,0,0,0,0,10,0
608032,0,0,0,0,0,0,0,0,0,0,62,0
608070,0,0,127,0,0,30,0,0,0,0,0,0
608324,0,0,154,0,0,0,0,0,0,0,0,0
608328,0,0,0,0,0,0,0,0,0,0,42,0
608331,0,0,0,0,0,0,0,0,0,0,0,30
608336,1,0,0,0,1,5,77,48,0,126,0,0
608337,0,0,0,0,0,0,0,0,0,0,0,30
608344,0,0,0,0,0,0,0,0,0,0,0,30
608348,0,0,0,100,0,2,0,0,0,0,4,0
608349,0,0,0,0,0,0,0,0,0,0,46,0
608360,0,0,0,7,0,0,0,0,0,0,0,0
608369,0,0,0,0,0,7,0,0,144,0,0,0
608371,0,0,0,0,0,0,0,0,0,0,6,0
608379,0,0,0,0,0,0,0,0,0,0,0,23
608385,0,0,0,0,0,17,118,0,0,118,0,0
608422,0,0,0,10,0,0,0,0,0,0,0,0
608566,0,0,0,0,0,0,0,0,0,0,0,31
608577,0,0,0,0,0,0,3,48,0,51,0,0
608596,0,0,0,12,0,1,0,0,0,0,0,0
608597,3,0,0,0,0,0,0,0,0,0,0,0
608638,0,0,0,0,0,0,0,0,0,0,18,3
608648,0,0,0,0,0,0,0,0,0,0,40,0
