mlbam_id,1B,2B,3B,C,CF,DH,LF,SP,RF,SS,OF,RP
665862,0,13,0,0,0,0,0,0,0,9,0,0
665926,0,19,10,0,0,0,0,0,0,23,0,0
665947,5,0,2,0,0,0,0,0,0,0,0,0
666120,0,0,0,0,0,0,0,6,0,0,0,0
666129,0,0,0,0,0,0,0,2,0,0,0,0
666158,0,18,0,0,0,1,0,0,0,0,0,0
666160,0,0,0,0,0,1,5,0,1,0,6,0
666176,0,0,0,0,4,0,0,0,34,0,38,0
666182,0,0,0,0,0,3,0,0,0,26,0,0
666185,0,0,0,0,17,0,10,0,18,0,45,0
666198,0,0,31,0,0,1,0,0,0,0,0,0
666200,0,0,0,0,0,0,0,12,0,0,0,3
666204,0,0,0,0,0,0,0,2,0,0,0,2
666622,0,0,0,0,0,0,0,1,0,0,0,1
666674,0,0,0,0,0,0,0,1,0,0,0,1
666915,21,0,2,0,0,1,0,0,0,0,0,0
666931,0,0,0,0,1,0,4,0,0,0,5,0
666969,0,0,0,0,0,0,3,0,0,0,3,0
666971,1,0,0,0,0,3,53,0,0,0,53,0
667463,0,0,0,0,0,0,0,6,0,0,0,6
667465,0,0,0,0,0,0,0,6,0,0,0,6
667498,0,0,0,0,0,0,0,4,0,0,0,3
667670,0,0,0,0,0,2,1,0,4,0,5,0
668227,0,0,0,0,2,5,14,0,3,0,19,0
668338,0,0,0,0,0,0,0,2,0,0,0,1
668676,0,0,0,0,0,0,0,8,0,0,0,0
668678,0,0,0,0,0,0,0,12,0,0,0,0
668687,0,0,0,0,0,0,0,20,0,0,0,20
668800,0,0,0,7,0,1,0,0,0,0,0,0
668804,0,0,0,0,17,1,37,0,0,0,54,0
668941,0,0,0,0,0,0,0,12,0,0,0,12
668942,0,8,0,0,0,5,1,0,0,2,1,0
669060,0,0,0,0,0,0,0,6,0,0,0,4
669064,0,0,0,0,0,0,0,5,0,0,0,5
669087,0,0,0,10,0,0,0,0,0,0,0,0
669134,0,0,0,0,0,1,0,0,0,0,0,0
669145,0,0,0,0,0,0,0,2,0,0,0,1
669160,0,0,0,0,0,0,0,12,0,0,0,2
669203,0,0,0,0,0,0,0,12,0,0,0,3
669211,0,0,0,0,0,0,0,8,0,0,0,2
669214,0,0,0,0,0,0,0,7,0,0,0,7
669221,0,0,0,43,0,0,0,0,0,0,0,0
669222,0,0,0,0,23,0,0,0,0,0,23,0
669242,0,8,31,0,0,0,8,0,13,13,21,0
669256,1,17,0,0,13,5,29,0,0,0,42,0
669257,0,0,0,34,0,3,0,0,0,0,0,0
669270,0,0,0,0,0,0,0,3,0,0,0,3
669288,0,0,0,0,0,0,1,0,4,0,5,0
669289,0,0,2,0,0,0,0,2,0,21,0,2
669373,0,0,0,0,0,0,0,8,0,0,0,1
669374,0,49,0,0,0,10,0,0,0,0,0,0
669424,0,0,0,0,0,0,0,2,0,0,0,2
669432,0,0,0,0,0,0,0,7,0,0,0,0
669456,0,0,0,0,0,0,0,12,0,0,0,0
669459,0,0,0,0,0,0,0,1,0,0,0,1
669720,0,0,0,0,23,0,10,0,3,0,36,0
669738,4,0,1,0,0,1,0,0,0,0,0,0
669952,0,0,0,0,0,0,0,2,0,0,0,2
670032,0,53,2,0,0,0,0,0,0,4,0,0
670056,0,0,0,0,0,0,0,24,0,0,0,23
670084,0,0,0,0,6,3,1,0,0,0,7,0
670167,0,0,0,0,0,0,0,15,0,0,0,15
670280,0,0,0,0,0,0,0,4,0,0,0,4
670329,0,0,0,0,0,0,0,12,0,0,0,12
670370,0,4,3,0,0,4,1,0,0,0,1,0
670426,0,0,0,0,0,0,0,6,0,0,0,6
670541,0,0,0,0,0,2,0,0,0,0,0,0
670550,0,0,0,0,0,0,0,5,0,0,0,5
670623,0,0,33,0,0,1,0,0,0,0,0,0
670712,12,9,11,0,0,0,2,1,1,0,3,1
670768,0,0,0,0,1,1,1,0,0,0,2,0
670912,0,0,0,0,0,0,0,5,0,0,0,0
670950,0,0,0,0,0,0,0,9,0,0,0,5
670970,0,0,0,0,0,0,0,9,0,0,0,5
670990,0,0,0,0,0,0,0,16,0,0,0,16
671250,0,0,0,0,0,4,0,0,1,0,1,0
671277,0,37,0,0,0,0,0,0,0,3,0,0
671790,0,0,0,0,0,0,0,2,0,0,0,0
672335,0,0,0,0,0,0,0,7,0,0,0,7
672386,0,0,0,7,0,1,0,0,0,0,0,0
672578,0,0,0,0,0,0,0,5,0,0,0,2
672715,0,0,0,0,0,0,0,11,0,0,0,10
672911,0,0,0,0,0,0,0,1,0,0,0,1
673258,0,0,0,0,0,0,0,3,0,0,0,2
673357,0,0,0,0,56,0,0,0,0,0,56,0
673451,0,0,0,0,21,0,36,0,0,0,57,0
673633,0,0,0,0,0,0,0,13,0,0,0,13
675916,0,0,0,0,0,0,0,27,0,0,0,27
675921,0,0,0,0,0,0,0,6,0,0,0,0
676051,0,0,0,0,0,0,0,21,0,0,0,21
676220,0,0,0,0,0,0,0,12,0,0,0,12
676480,0,0,0,0,0,2,0,0,0,21,0,0
676596,0,0,0,0,0,0,0,7,0,0,0,2
676604,0,0,0,0,0,0,0,23,0,0,0,23
676606,0,0,0,0,0,0,0,10,0,0,0,3
676831,0,0,0,0,0,0,0,4,0,0,0,4
676886,0,0,0,0,0,0,0,1,0,0,0,1
676979,0,0,0,0,0,0,0,5,0,0,0,5
677651,0,0,0,0,0,0,0,5,0,0,0,4
677976,0,0,0,0,0,0,0,10,0,0,0,0
680692,0,0,0,0,0,0,0,2,0,0,0,0
680702,0,0,0,0,0,0,0,17,0,0,0,17
680777,0,0,0,25,0,1,0,0,0,0,0,0
681911,0,0,0,0,0,0,0,5,0,0,0,5
683232,0,0,0,0,0,0,0,4,0,0,0,4
685493,0,0,0,0,0,0,0,17,0,0,0,17
