mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
543506,0,5,0,0,13,6,13,69.2,65,37,35,7,23,5,72,2,0,3
455374,3,0,0,0,0,2,15,67.2,60,37,34,11,32,3,74,4,4,6
571510,6,5,0,0,0,0,0,97.1,97,51,49,17,29,0,82,4,0,1
543056,3,1,0,0,0,1,2,47.2,37,24,24,6,17,2,54,0,0,3
592340,2,2,0,0,0,1,3,35.2,33,20,18,5,14,1,36,1,0,5
572971,9,12,1,1,0,0,0,168.0,168,88,85,20,48,1,144,2,0,9
431148,10,6,0,0,0,0,0,136.1,133,71,69,21,52,3,134,7,0,5
461829,11,11,0,0,0,0,0,177.1,179,98,90,19,59,2,171,9,0,7
571656,0,1,0,0,0,0,0,29.1,25,15,15,4,20,1,27,1,0,2
592351,10,10,1,1,0,0,0,168.0,153,92,86,18,59,2,185,12,0,7
519076,8,16,0,0,0,0,0,179.1,186,108,92,25,86,2,140,17,0,8
425794,13,9,1,1,0,0,0,198.2,220,108,102,22,59,4,161,5,0,1
451661,1,0,0,0,0,0,2,35.0,43,22,18,4,11,2,42,1,0,0
450729,12,13,0,0,0,0,0,180.1,195,98,93,24,62,1,115,7,0,10
580792,0,0,0,0,0,0,0,29.0,30,15,15,7,12,1,34,1,0,0
456027,5,7,0,0,2,3,3,65.2,59,35,34,14,32,1,68,6,0,4
448802,10,13,1,1,0,0,0,171.2,179,94,89,26,57,3,150,7,0,8
453284,1,0,0,0,1,0,0,17.1,17,9,9,1,9,1,15,2,0,0
595001,3,3,0,0,0,0,1,59.2,57,32,31,11,26,1,48,1,0,1
518716,8,9,0,0,0,0,0,125.0,146,67,65,24,37,3,89,6,1,1
608349,1,4,0,0,2,2,13,32.2,32,20,17,3,16,3,38,1,0,1
476589,7,4,0,0,0,3,12,65.1,59,37,34,11,29,6,52,1,0,3
